	Gloria 1	Gloria 2	Gloria 3	Gloria 4	Gloria 5
5/1/02 15:00	4.9	6.4	6.2	5.4	6.2
5/1/02 16:00	4.9	6.7	6.2	5.1	5.4
5/1/02 17:00	5.1	6.9	6.2	5.1	5.1
5/1/02 18:00	4.9	6.7	6.2	5.1	5.1
5/1/02 19:00	4.9	6.2	5.9	5.1	5.1
5/1/02 20:00	4.6	5.7	5.7	4.9	5.1
5/1/02 21:00	4.4	5.1	5.4	4.9	5.1
5/1/02 22:00	4.4	4.6	5.4	4.6	4.9
5/1/02 23:00	4.1	4.4	5.1	4.6	4.9
5/2/02 0:00	3.9	4.1	4.9	4.6	4.9
5/2/02 1:00	3.9	3.9	4.9	4.4	4.9
5/2/02 2:00	3.9	3.6	4.6	4.4	4.6
5/2/02 3:00	3.6	3.4	4.4	4.1	4.6
5/2/02 4:00	3.6	3.4	4.4	4.1	4.6
5/2/02 5:00	3.6	3.1	4.4	4.1	4.6
5/2/02 6:00	3.4	2.8	4.1	4.1	4.4
5/2/02 7:00	3.4	2.8	4.1	3.9	4.4
5/2/02 8:00	3.4	2.6	4.1	3.9	4.4
5/2/02 9:00	3.4	2.6	3.9	3.9	4.1
5/2/02 10:00	3.4	2.6	3.9	3.9	4.1
5/2/02 11:00	3.1	3.1	3.9	3.9	4.1
5/2/02 12:00	3.4	4.1	4.4	3.9	4.1
5/2/02 13:00	3.6	4.9	4.9	4.1	4.1
5/2/02 14:00	3.9	5.7	5.1	4.4	4.4
5/2/02 15:00	4.4	6.2	5.7	4.6	4.4
5/2/02 16:00	4.6	6.7	5.9	4.9	4.6
5/2/02 17:00	4.9	6.9	6.2	5.1	4.9
5/2/02 18:00	4.9	6.7	6.2	5.1	4.9
5/2/02 19:00	4.9	6.4	6.2	5.1	5.1
5/2/02 20:00	4.6	5.9	5.9	5.1	5.1
5/2/02 21:00	4.6	5.7	5.7	4.9	5.1
5/2/02 22:00	4.4	5.4	5.4	4.9	5.1
5/2/02 23:00	4.4	4.9	5.4	4.9	5.1
5/3/02 0:00	4.1	4.6	5.1	4.6	4.9
5/3/02 1:00	4.1	4.4	4.9	4.6	4.9
5/3/02 2:00	4.1	4.1	4.9	4.6	4.9
5/3/02 3:00	3.9	3.9	4.6	4.4	4.9
5/3/02 4:00	3.9	3.6	4.6	4.4	4.6
5/3/02 5:00	3.9	3.6	4.6	4.4	4.6
5/3/02 6:00	3.9	3.4	4.4	4.1	4.6
5/3/02 7:00	3.9	3.4	4.4	4.1	4.6
5/3/02 8:00	3.6	3.1	4.4	4.1	4.6
5/3/02 9:00	3.6	3.1	4.4	4.1	4.4
5/3/02 10:00	3.6	3.4	4.1	3.9	4.4
5/3/02 11:00	3.6	3.9	4.4	3.9	4.4
5/3/02 12:00	3.9	4.9	4.9	4.1	4.4
5/3/02 13:00	4.1	5.9	5.4	4.4	4.4
5/3/02 14:00	4.6	6.7	5.7	4.6	4.6
5/3/02 15:00	4.9	7.5	6.2	4.9	4.6
5/3/02 16:00	5.4	7.7	6.4	5.1	4.9
5/3/02 17:00	5.4	8	6.7	5.1	4.9
5/3/02 18:00	5.4	7.7	6.7	5.4	5.1
5/3/02 19:00	5.4	7.2	6.4	5.1	5.1
5/3/02 20:00	5.1	6.7	6.2	5.1	5.1
5/3/02 21:00	4.9	6.2	6.2	5.1	5.1
5/3/02 22:00	4.9	5.7	5.9	4.9	5.1
5/3/02 23:00	4.6	5.4	5.7	4.9	5.1
5/4/02 0:00	4.6	5.1	5.4	4.6	4.9
5/4/02 1:00	4.4	4.9	5.4	4.6	4.9
5/4/02 2:00	4.4	4.6	5.1	4.6	4.9
5/4/02 3:00	4.4	4.6	5.1	4.6	4.9
5/4/02 4:00	4.4	4.4	5.1	4.6	4.6
5/4/02 5:00	4.4	4.4	5.1	4.4	4.6
5/4/02 6:00	4.4	4.1	4.9	4.4	4.6
5/4/02 7:00	4.1	4.1	4.9	4.4	4.6
5/4/02 8:00	4.1	4.1	4.9	4.4	4.6
5/4/02 9:00	4.1	4.1	4.9	4.4	4.6
5/4/02 10:00	4.1	4.1	4.9	4.6	4.6
5/4/02 11:00	4.1	4.6	5.1	4.6	4.6
5/4/02 12:00	4.4	5.1	5.4	4.6	4.6
5/4/02 13:00	4.6	5.9	5.7	4.9	4.9
5/4/02 14:00	4.9	6.4	6.2	5.1	4.9
5/4/02 15:00	5.4	6.9	6.4	5.4	5.1
5/4/02 16:00	5.4	7.5	6.7	5.7	5.4
5/4/02 17:00	5.7	7.5	6.7	5.7	5.4
5/4/02 18:00	5.7	7.5	6.7	5.7	5.7
5/4/02 19:00	5.7	7.2	6.7	5.7	5.7
5/4/02 20:00	5.4	6.9	6.7	5.7	5.7
5/4/02 21:00	5.4	6.4	6.4	5.7	5.7
5/4/02 22:00	5.1	5.9	6.2	5.4	5.7
5/4/02 23:00	4.9	5.7	6.2	5.4	5.7
5/5/02 0:00	4.9	5.4	5.9	5.1	5.4
5/5/02 1:00	4.9	5.1	5.9	5.1	5.4
5/5/02 2:00	4.6	4.9	5.7	5.1	5.4
5/5/02 3:00	4.6	4.6	5.7	5.1	5.1
5/5/02 4:00	4.6	4.6	5.4	4.9	5.1
5/5/02 5:00	4.4	4.4	5.4	4.9	5.1
5/5/02 6:00	4.4	4.1	5.4	4.9	5.1
5/5/02 7:00	4.4	4.1	5.1	4.9	4.9
5/5/02 8:00	4.4	3.9	5.1	4.9	4.9
5/5/02 9:00	4.1	3.9	4.9	4.9	4.9
5/5/02 10:00	4.1	3.9	4.9	4.9	4.9
5/5/02 11:00	4.4	4.4	5.1	4.9	4.9
5/5/02 12:00	4.4	4.6	5.4	4.9	4.9
5/5/02 13:00	4.6	5.1	5.7	4.9	4.9
5/5/02 14:00	4.6	5.7	5.9	5.1	5.1
5/5/02 15:00	4.9	5.9	6.2	5.4	5.1
5/5/02 16:00	5.1	6.2	6.2	5.7	5.4
5/5/02 17:00	5.1	6.2	6.4	5.7	5.4
5/5/02 18:00	4.9	5.9	6.2	5.7	5.4
5/5/02 19:00	4.9	5.7	6.2	5.4	5.4
5/5/02 20:00	4.9	5.4	5.9	5.4	5.4
5/5/02 21:00	4.6	4.9	5.7	5.4	5.4
5/5/02 22:00	4.6	4.6	5.4	5.1	5.4
5/5/02 23:00	4.4	4.1	5.4	5.1	5.1
5/6/02 0:00	4.4	3.9	5.1	4.9	5.1
5/6/02 1:00	4.1	3.6	5.1	4.9	5.1
5/6/02 2:00	4.1	3.6	4.9	4.9	4.9
5/6/02 3:00	4.1	3.4	4.9	4.9	4.9
5/6/02 4:00	3.9	3.4	4.9	4.6	4.9
5/6/02 5:00	3.9	3.1	4.9	4.6	4.6
5/6/02 6:00	3.9	3.1	4.6	4.6	4.6
5/6/02 7:00	3.9	3.1	4.6	4.6	4.6
5/6/02 8:00	3.9	3.1	4.6	4.6	4.6
5/6/02 9:00	3.9	3.1	4.6	4.6	4.6
5/6/02 10:00	3.9	3.4	4.6	4.6	4.6
5/6/02 11:00	3.9	3.9	4.9	4.6	4.6
5/6/02 12:00	4.1	4.4	4.9	4.6	4.6
5/6/02 13:00	4.4	5.1	5.4	4.9	4.9
5/6/02 14:00	4.6	5.7	5.7	5.1	4.9
5/6/02 15:00	4.9	6.2	5.9	5.4	5.1
5/6/02 16:00	4.9	6.4	6.2	5.4	5.1
5/6/02 17:00	4.9	6.2	6.2	5.4	5.4
5/6/02 18:00	4.9	5.9	6.2	5.4	5.4
5/6/02 19:00	4.9	5.7	5.9	5.4	5.4
5/6/02 20:00	4.6	5.4	5.9	5.4	5.4
5/6/02 21:00	4.6	4.9	5.7	5.4	5.4
5/6/02 22:00	4.6	4.9	5.7	5.4	5.4
5/6/02 23:00	4.4	4.6	5.4	5.1	5.4
5/7/02 0:00	4.4	4.4	5.4	5.1	5.4
5/7/02 1:00	4.4	4.4	5.4	5.1	5.1
5/7/02 2:00	4.4	4.1	5.4	5.1	5.1
5/7/02 3:00	4.1	4.1	5.1	5.1	5.1
5/7/02 4:00	4.1	3.9	5.1	4.9	5.1
5/7/02 5:00	4.1	3.9	5.1	4.9	5.1
5/7/02 6:00	4.1	3.9	4.9	4.9	5.1
5/7/02 7:00	4.1	3.6	4.9	4.9	5.1
5/7/02 8:00	4.1	3.6	4.9	4.9	5.1
5/7/02 9:00	3.9	3.6	4.9	4.9	4.9
5/7/02 10:00	3.9	3.9	4.9	4.9	4.9
5/7/02 11:00	4.1	4.1	4.9	4.9	4.9
5/7/02 12:00	4.1	4.6	5.1	4.9	4.9
5/7/02 13:00	4.1	5.1	5.4	4.9	5.1
5/7/02 14:00	4.4	5.7	5.7	5.1	5.1
5/7/02 15:00	4.6	5.9	5.9	5.4	5.4
5/7/02 16:00	4.6	6.2	5.9	5.4	5.4
5/7/02 17:00	4.9	6.2	5.9	5.7	5.4
5/7/02 18:00	4.9	5.9	5.9	5.4	5.7
5/7/02 19:00	4.6	5.7	5.9	5.4	5.7
5/7/02 20:00	4.6	5.4	5.7	5.4	5.7
5/7/02 21:00	4.6	4.9	5.7	5.4	5.7
5/7/02 22:00	4.4	4.6	5.4	5.1	5.4
5/7/02 23:00	4.4	4.4	5.4	5.1	5.4
5/8/02 0:00	4.1	4.1	5.4	5.1	5.4
5/8/02 1:00	4.1	4.1	5.1	4.9	5.4
5/8/02 2:00	4.1	3.9	5.1	4.9	5.1
5/8/02 3:00	4.1	3.9	4.9	4.9	5.1
5/8/02 4:00	3.9	3.6	4.9	4.9	5.1
5/8/02 5:00	3.9	3.4	4.9	4.9	4.9
5/8/02 6:00	3.9	3.4	4.6	4.9	4.9
5/8/02 7:00	3.9	3.1	4.6	4.6	4.9
5/8/02 8:00	3.6	3.1	4.6	4.6	4.9
5/8/02 9:00	3.6	3.1	4.6	4.6	4.9
5/8/02 10:00	3.6	3.4	4.6	4.6	4.6
5/8/02 11:00	3.9	4.1	4.6	4.6	4.6
5/8/02 12:00	4.1	4.9	5.1	4.9	4.9
5/8/02 13:00	4.4	5.9	5.7	5.1	4.9
5/8/02 14:00	4.9	6.7	6.2	5.4	5.1
5/8/02 15:00	5.1	7.2	6.4	5.7	5.1
5/8/02 16:00	5.4	7.7	6.7	5.7	5.4
5/8/02 17:00	5.4	7.7	6.7	5.9	5.4
5/8/02 18:00	5.4	7.5	6.7	5.9	5.7
5/8/02 19:00	5.4	6.9	6.7	5.9	5.7
5/8/02 20:00	5.1	6.4	6.4	5.9	5.7
5/8/02 21:00	5.1	6.2	6.4	5.7	5.7
5/8/02 22:00	4.9	5.7	6.2	5.7	5.7
5/8/02 23:00	4.9	5.4	5.9	5.4	5.4
5/9/02 0:00	4.6	5.1	5.9	5.4	5.4
5/9/02 1:00	4.6	4.9	5.7	5.4	5.4
5/9/02 2:00	4.6	4.6	5.7	5.4	5.1
5/9/02 3:00	4.4	4.6	5.7	5.1	5.1
5/9/02 4:00	4.4	4.4	5.4	5.1	5.1
5/9/02 5:00	4.4	4.4	5.4	5.1	5.1
5/9/02 6:00	4.1	4.1	5.4	5.1	5.1
5/9/02 7:00	4.1	4.1	5.4	5.1	5.1
5/9/02 8:00	4.1	3.9	5.1	5.1	4.9
5/9/02 9:00	4.1	3.9	5.1	5.1	4.9
5/9/02 10:00	4.1	3.9	5.1	4.9	4.9
5/9/02 11:00	4.1	4.1	5.1	5.1	4.9
5/9/02 12:00	4.1	4.1	5.1	5.1	4.9
5/9/02 13:00	4.1	4.6	5.4	5.1	5.1
5/9/02 14:00	4.4	4.9	5.7	5.1	5.1
5/9/02 15:00	4.4	5.1	5.7	5.4	5.1
5/9/02 16:00	4.6	5.1	5.9	5.4	5.4
5/9/02 17:00	4.6	5.1	5.9	5.4	5.4
5/9/02 18:00	4.6	5.1	5.9	5.4	5.4
5/9/02 19:00	4.4	4.9	5.9	5.4	5.4
5/9/02 20:00	4.4	4.9	5.9	5.4	5.4
5/9/02 21:00	4.4	4.9	5.7	5.4	5.4
5/9/02 22:00	4.4	4.6	5.7	5.4	5.4
5/9/02 23:00	4.4	4.6	5.7	5.4	5.4
5/10/02 0:00	4.4	4.6	5.7	5.4	5.4
5/10/02 1:00	4.4	4.4	5.4	5.4	5.4
5/10/02 2:00	4.4	4.4	5.4	5.1	5.4
5/10/02 3:00	4.4	4.4	5.4	5.1	5.4
5/10/02 4:00	4.1	4.1	5.4	5.1	5.4
5/10/02 5:00	4.1	3.9	5.1	5.1	5.4
5/10/02 6:00	4.1	3.6	5.1	5.1	5.4
5/10/02 7:00	3.9	3.4	4.9	4.9	5.1
5/10/02 8:00	3.9	3.4	4.9	4.9	5.1
5/10/02 9:00	3.9	3.1	4.6	4.9	5.1
5/10/02 10:00	3.6	2.8	4.6	4.6	5.1
5/10/02 11:00	3.6	3.1	4.6	4.6	4.9
5/10/02 12:00	3.6	3.4	4.6	4.6	4.9
5/10/02 13:00	3.6	3.9	4.9	4.6	4.9
5/10/02 14:00	3.9	4.4	5.1	4.9	4.9
5/10/02 15:00	3.9	4.6	5.1	4.9	4.9
5/10/02 16:00	3.9	4.9	5.4	4.9	4.9
5/10/02 17:00	3.9	4.6	5.4	4.9	4.9
5/10/02 18:00	3.9	4.4	5.1	4.9	4.9
5/10/02 19:00	3.9	4.1	4.9	4.9	4.9
5/10/02 20:00	3.6	3.9	4.9	4.6	4.9
5/10/02 21:00	3.6	3.4	4.6	4.6	4.9
5/10/02 22:00	3.6	3.4	4.6	4.6	4.9
5/10/02 23:00	3.4	3.1	4.4	4.4	4.6
5/11/02 0:00	3.4	2.8	4.4	4.4	4.6
5/11/02 1:00	3.4	2.8	4.1	4.4	4.6
5/11/02 2:00	3.1	2.6	4.1	4.1	4.6
5/11/02 3:00	3.1	2.6	3.9	4.1	4.6
5/11/02 4:00	3.1	2.3	3.9	4.1	4.4
5/11/02 5:00	3.1	2.3	3.9	3.9	4.4
5/11/02 6:00	3.1	2.3	3.6	3.9	4.4
5/11/02 7:00	2.8	2.1	3.6	3.9	4.4
5/11/02 8:00	2.8	2.1	3.6	3.9	4.1
5/11/02 9:00	2.8	2.1	3.4	3.9	4.1
5/11/02 10:00	2.8	2.1	3.4	3.9	4.1
5/11/02 11:00	2.8	2.3	3.4	3.6	4.1
5/11/02 12:00	2.8	3.1	3.6	3.9	4.1
5/11/02 13:00	3.1	4.4	4.1	3.9	4.1
5/11/02 14:00	3.4	5.4	4.6	4.4	4.1
5/11/02 15:00	3.9	6.2	4.9	4.6	4.4
5/11/02 16:00	4.1	6.7	5.1	4.6	4.4
5/11/02 17:00	4.4	6.7	5.4	4.9	4.6
5/11/02 18:00	4.1	6.4	5.4	4.9	4.6
5/11/02 19:00	4.1	5.9	5.1	4.6	4.6
5/11/02 20:00	3.9	5.4	4.9	4.6	4.6
5/11/02 21:00	3.9	4.9	4.9	4.6	4.6
5/11/02 22:00	3.6	4.4	4.6	4.4	4.6
5/11/02 23:00	3.6	4.1	4.6	4.4	4.6
5/12/02 0:00	3.4	3.9	4.4	4.4	4.6
5/12/02 1:00	3.4	3.6	4.1	4.4	4.6
5/12/02 2:00	3.1	3.4	4.1	4.1	4.6
5/12/02 3:00	3.1	3.4	4.1	4.1	4.4
5/12/02 4:00	3.1	3.1	4.1	4.1	4.4
5/12/02 5:00	3.1	2.8	3.9	4.1	4.4
5/12/02 6:00	3.1	2.8	3.9	4.1	4.4
5/12/02 7:00	2.8	2.8	3.9	3.9	4.1
5/12/02 8:00	2.8	2.8	3.9	3.9	4.1
5/12/02 9:00	2.8	2.8	3.9	3.9	4.1
5/12/02 10:00	2.8	3.1	3.9	3.9	4.1
5/12/02 11:00	2.8	3.6	4.1	4.1	4.1
5/12/02 12:00	3.1	4.1	4.4	4.1	4.1
5/12/02 13:00	3.4	4.6	4.9	4.4	4.1
5/12/02 14:00	3.6	5.1	5.1	4.6	4.4
5/12/02 15:00	3.9	5.7	5.4	4.6	4.4
5/12/02 16:00	3.9	6.2	5.7	4.9	4.6
5/12/02 17:00	4.1	6.2	5.7	4.9	4.6
5/12/02 18:00	4.1	5.9	5.7	4.9	4.9
5/12/02 19:00	3.9	5.4	5.4	4.9	4.9
5/12/02 20:00	3.9	4.9	5.4	4.9	4.9
5/12/02 21:00	3.6	4.6	5.1	4.6	4.9
5/12/02 22:00	3.6	4.4	4.9	4.6	4.9
5/12/02 23:00	3.6	4.4	4.9	4.6	4.6
5/13/02 0:00	3.4	4.1	4.9	4.6	4.6
5/13/02 1:00	3.4	3.9	4.6	4.6	4.6
5/13/02 2:00	3.4	3.9	4.6	4.6	4.6
5/13/02 3:00	3.4	3.9	4.6	4.6	4.6
5/13/02 4:00	3.4	3.9	4.6	4.6	4.6
5/13/02 5:00	3.6	3.9	4.6	4.6	4.6
5/13/02 6:00	3.6	4.1	4.6	4.6	4.6
5/13/02 7:00	3.6	4.1	4.6	4.6	4.6
5/13/02 8:00	3.6	3.9	4.6	4.6	4.6
5/13/02 9:00	3.6	3.9	4.6	4.6	4.6
5/13/02 10:00	3.6	3.9	4.6	4.6	4.6
5/13/02 11:00	3.6	3.9	4.6	4.6	4.6
5/13/02 12:00	3.6	4.1	4.9	4.6	4.9
5/13/02 13:00	3.9	4.4	4.9	4.9	4.9
5/13/02 14:00	3.9	4.6	5.1	4.9	4.9
5/13/02 15:00	4.1	4.9	5.4	5.1	5.1
5/13/02 16:00	4.1	5.4	5.4	5.1	5.1
5/13/02 17:00	4.4	5.4	5.7	5.4	5.4
5/13/02 18:00	4.4	5.4	5.7	5.4	5.4
5/13/02 19:00	4.4	5.4	5.7	5.4	5.4
5/13/02 20:00	4.4	5.1	5.7	5.4	5.4
5/13/02 21:00	4.4	4.9	5.4	5.1	5.4
5/13/02 22:00	4.1	4.9	5.4	5.1	5.4
5/13/02 23:00	4.1	4.6	5.4	5.1	5.4
5/14/02 0:00	4.1	4.6	5.4	5.1	5.4
5/14/02 1:00	4.1	4.6	5.1	5.1	5.4
5/14/02 2:00	4.1	4.4	5.1	5.1	5.4
5/14/02 3:00	4.1	4.4	5.1	5.1	5.4
5/14/02 4:00	4.1	4.4	5.1	5.1	5.4
5/14/02 5:00	4.1	4.1	5.1	5.1	5.4
5/14/02 6:00	3.9	4.1	4.9	4.9	5.4
5/14/02 7:00	3.9	3.9	4.9	4.9	5.1
5/14/02 8:00	3.9	3.9	4.9	4.9	5.1
5/14/02 9:00	3.9	3.9	4.9	4.9	5.1
5/14/02 10:00	3.9	3.9	4.9	4.9	5.1
5/14/02 11:00	4.1	3.9	4.9	4.9	5.1
5/14/02 12:00	4.1	4.1	4.9	4.9	5.1
5/14/02 13:00	4.4	4.4	4.9	5.1	5.1
5/14/02 14:00	4.4	4.6	5.1	5.1	5.1
5/14/02 15:00	4.4	4.6	5.1	5.1	5.4
5/14/02 16:00	4.4	4.6	5.1	5.1	5.4
5/14/02 17:00	4.4	4.6	5.1	5.1	5.4
5/14/02 18:00	4.4	4.4	5.1	5.1	5.4
5/14/02 19:00	4.1	4.1	5.1	5.1	5.4
5/14/02 20:00	4.1	4.1	4.9	5.1	5.4
5/14/02 21:00	4.1	3.9	4.9	5.1	5.4
5/14/02 22:00	4.1	3.9	4.9	4.9	5.4
5/14/02 23:00	3.9	3.6	4.9	4.9	5.4
5/15/02 0:00	3.9	3.6	4.6	4.9	5.4
5/15/02 1:00	3.9	3.6	4.6	4.9	5.1
5/15/02 2:00	3.9	3.6	4.6	4.9	5.1
5/15/02 3:00	3.9	3.4	4.6	4.9	5.1
5/15/02 4:00	3.9	3.4	4.6	4.9	5.1
5/15/02 5:00	3.9	3.4	4.6	4.9	5.1
5/15/02 6:00	3.9	3.4	4.6	4.9	5.1
5/15/02 7:00	3.9	3.4	4.6	4.6	5.1
5/15/02 8:00	3.9	3.4	4.4	4.6	4.9
5/15/02 9:00	3.6	3.4	4.4	4.6	4.9
5/15/02 10:00	3.6	3.4	4.4	4.6	4.9
5/15/02 11:00	3.9	3.4	4.6	4.9	4.9
5/15/02 12:00	3.9	3.6	4.9	4.9	4.9
5/15/02 13:00	3.9	3.6	4.9	4.9	5.1
5/15/02 14:00	3.9	3.9	5.1	5.1	5.1
5/15/02 15:00	3.9	4.1	5.1	5.1	5.1
5/15/02 16:00	3.9	3.9	5.4	5.1	5.4
5/15/02 17:00	3.9	3.9	5.1	5.1	5.4
5/15/02 18:00	3.9	3.9	5.1	5.1	5.4
5/15/02 19:00	3.9	3.9	5.1	5.1	5.4
5/15/02 20:00	3.9	3.6	5.1	5.1	5.4
5/15/02 21:00	3.9	3.6	4.9	4.9	5.4
5/15/02 22:00	3.9	3.6	4.9	4.9	5.4
5/15/02 23:00	3.9	3.6	4.9	4.9	5.4
5/16/02 0:00	3.6	3.4	4.9	4.9	5.1
5/16/02 1:00	3.6	3.4	4.9	4.9	5.1
5/16/02 2:00	3.6	3.4	4.6	4.9	5.1
5/16/02 3:00	3.6	3.1	4.6	4.9	5.1
5/16/02 4:00	3.6	3.1	4.6	4.6	5.1
5/16/02 5:00	3.4	3.1	4.6	4.6	4.9
5/16/02 6:00	3.4	2.8	4.4	4.4	4.6
5/16/02 7:00	3.4	3.1	4.4	4.4	4.6
5/16/02 8:00	3.4	3.1	4.4	4.4	4.6
5/16/02 9:00	3.4	3.1	4.1	4.4	4.6
5/16/02 10:00	3.4	3.1	4.1	4.4	4.6
5/16/02 11:00	3.4	3.1	4.1	4.4	4.6
5/16/02 12:00	3.4	3.1	4.1	4.4	4.6
5/16/02 13:00	3.4	3.1	4.1	4.4	4.6
5/16/02 14:00	3.4	3.1	4.1	4.4	4.6
5/16/02 15:00	3.4	2.8	4.1	4.4	4.6
5/16/02 16:00	3.1	2.8	4.1	4.4	4.4
5/16/02 17:00	3.1	2.6	3.9	4.1	4.4
5/16/02 18:00	2.8	2.3	3.9	4.1	4.1
5/16/02 19:00	2.8	2.3	3.9	4.1	3.9
5/16/02 20:00	2.8	2.1	3.6	3.9	2.6
5/16/02 21:00	2.8	2.1	3.4	3.6	3.4
5/16/02 22:00	2.8	2.1	3.4	3.6	3.6
