Species	Authority	Family	Growth form	GLORIA ID	Distribution	Elevational Zone	CL1E10	CL1E10	CL1E10	CL1N10	CL1N10	CL1N10	CL1S10	CL1S10	CL1S10	CL1W10	CL1W10	CL1W10	CL2E10	CL2E10	CL2E10	CL2N10	CL2N10	CL2N10	CL2S10	CL2S10	CL2S10	CL2W10	CL2W10	CL2W10	CL3E10	CL3E10	CL3E10	CL3N10	CL3N10	CL3N10	CL3S10	CL3S10	CL3S10	CL3W10	CL3W10	CL3W10	CL4E10	CL4E10	CL4E10	CL4N10	CL4N10	CL4N10	CL4S10	CL4S10	CL4S10	CL4W10	CL4W10	CL4W10	CL5E10	CL5E10	CL5E10	CL5N10	CL5N10	CL5N10	CL5S10	CL5S10	CL5S10	CL5W10	CL5W10	CL5W10	CL1E05	CL1E05	CL1E05	CL1N05	CL1N05	CL1N05	CL1S05	CL1S05	CL1S05	CL1W05	CL1W05	CL1W05	CL2E05	CL2E05	CL2E05	CL2N05	CL2N05	CL2N05	CL2S05	CL2S05	CL2S05	CL2W05	CL2W05	CL2W05	CL3E05	CL3E05	CL3E05	CL3N05	CL3N05	CL3N05	CL3S05	CL3S05	CL3S05	CL3W05	CL3W05	CL3W05	CL4E05	CL4E05	CL4E05	CL4N05	CL4N05	CL4N05	CL4S05	CL4S05	CL4S05	CL4W05	CL4W05	CL4W05	CL5E05	CL5E05	CL5E05	CL5N05	CL5N05	CL5N05	CL5S05	CL5S05	CL5S05	CL5W05	CL5W05	CL5W05																																																															
							2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019	2004	2011	2019																																																															
Acaena novae-zelandiae	Kirk	Rosaceae	Forb	2263	AVTN	"SA, A"																																							0.1				0.1	0.1	0.5											0.1																																																													0.1																																																																		
Acetosella vulgaris*	Fourr.	Polygonaceae	Forb	792	I	"M, SA, A"		0.1	0.5			0.1					0.5	0.1	0.5	0.1	1.0	0.5	1.5	0.5	0.1		0.1		0.1	1.5		1.0	2.0	4.5	7.5	2.5	3.5	0.5	0.1		4.0	0.1		0.1	2.0	0.1	1.5	0.5	0.1	11.0	1.5	1.0	6.0	2.5	0.5	0.1	1.5		0.1		0.1	2.5	1.5	0.1	1.0	3.5										0.1	0.1	0.1			1.0	0.1	0.5	0.5	1.5	0.1	0.1	0.1	0.1	0.5	2.5	0.5	0.5	8.5	4.5	0.5	3.0	0.1	2.0	1.5	2.5	3.5	0.1	0.1	0.5	0.1	0.1	0.1	0.1	1.5	0.1	1.0	0.1	0.1	0.5	4.5	1.0	0.1	0.1	0.1	0.1	0.5	0.1	0.1	0.5	3.5																																																															
Aciphylla glacialis 	(F.Muell.) Benth.	Apiaceae	Forb	2264	V	"SA, A"	0.5	0.1	1.0	0.5	2.0	2.0			0.1				0.1	0.1	0.1			0.5	0.5	0.5	1.0				0.5	0.5	0.1			0.1	0.1	0.1	0.1	0.1	0.5	1.0							0.5	0.5	0.1					0.1	0.5			0.1	0.1	1.0	0.1	0.1	0.1	0.1	0.1	0.5	0.1	0.1							0.1														0.1	0.5	0.1		0.1	0.1				1.0	0.1	0.1							0.1												0.1	0.1	0.5		0.1																																																																
Aciphylla simplicifolia 	(F.Muell.) Benth.	Apiaceae	Forb	2265	AV	"SA, A"																0.1																																					0.1	0.1	0.1	1.5	0.1	0.1	1.0	0.5																																																							0.1		0.5		3.0																																																																
Acrothamnus montanus^	(R.Br.) Quinn	Epacridaceae	Shrub	2303	VT	A															0.1	1.5	1.0	0.5					0.1	0.1	0.5	1.0	1.0	2.0	1.0	0.5	1.0	0.5	0.1	0.5	0.1	1.5	3.0	1.5	3.0	1.5		1.0	0.5				1.0	0.5	1.0		1.5	0.1	1.5	1.5	0.5	0.1	1.5	0.1		0.1																		0.1							1.5	0.1	1.5	1.0	0.5	0.5	2.5	2.0	2.0		0.5	0.5	1.5	2.0	1.5	3.5	1.0	1.5					0.1	0.1	2.5	0.1	0.1	0.5	0.5	0.1	0.1	0.1	0.1	1.0	1.5	0.1																																																															
Agrostis sp.	AU-KNP	Poaceae	Graminoid	2266	AVT			0.5	1.0		1.0	0.1		3.5	1.0		2.5	1.5		0.5	0.1		2.0			0.5	0.1		5.5	2.5		2.0	0.5		2.0	1.0					1.5	0.1		0.1			0.1	0.5		2.5	0.1		2.0	1.0		0.1			0.1			0.5			0.5			3.0	1.0		4.5	3.0	0.1	2.0	1.0		2.0	0.1		0.1	0.5		1.5	1.0		0.1	0.5		0.5			5.0	1.5		0.5	0.1		0.5	0.5		0.1	0.1		2.0	1.5		1.5	2.0		5.0	2.0		0.1	0.1		1.0			0.5	0.1		0.1			1.0																																																																
Argyrotegium fordianum	(M.Gray) J.M.Ward & I.Breitwieser	Asteraceae	Forb		VT	"M, SA, A"																											0.1									0.1											0.5	0.5								0.1				0.1																																																0.1																																																																											
Argyrotegium mackayi	(Buchanan) J.M.Ward & I.Breitwieser	Asteraceae	Forb		VT	"SA, A"																					0.1																																																															0.1																																																																																																			
Argyrotegium nitidulum	(Hook.f.) J.M.Ward & Breitw.	Asteraceae	Forb	2293	VN	"SA, A"																															1.0			0.5	0.5	0.1											0.1																																					0.1	0.1		0.1			0.1						0.1																																																																																							
